2023-06-07 18:08:43;0
2023-06-07 18:08:41;1
23-06-01 13:44:56;0;0
23-06-01 13:44:36;0;0
23-06-01 13:44:16;0;0
23-06-01 13:43:55;0;0
23-06-01 13:43:35;0;0
23-06-01 13:43:15;0;0
23-06-01 13:42:54;0;0
23-06-01 13:42:30;0;0
23-06-01 13:42:01;0;0
23-06-01 13:41:36;0;0
23-06-01 13:41:16;0;0
23-06-01 13:40:53;0;0
23-06-01 13:40:30;0;0
23-06-01 13:40:10;0;0
23-06-01 13:39:50;1;0
23-06-01 13:39:29;0;0
23-06-01 13:39:08;0;0
23-06-01 12:50:43;0;0
23-06-01 12:50:13;0;0
23-06-01 12:49:42;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
23-06-01 12:20:11;0;0
